ID,SystemOutput1
0,GENHX
1,ROS
2,PASTMEDICALHX
3,MEDICATIONS
4,ROS
5,GENHX
6,PASTSURGICAL
7,CC
8,FAM/SOCHX
9,GENHX
10,GENHX
11,FAM/SOCHX
12,DISPOSITION
13,FAM/SOCHX
14,GENHX
15,CC
16,ROS
17,FAM/SOCHX
18,GENHX
19,MEDICATIONS
20,PASTMEDICALHX
21,FAM/SOCHX
22,DIAGNOSIS
23,MEDICATIONS
24,GENHX
25,GENHX
26,FAM/SOCHX
27,PASTSURGICAL
28,PASTSURGICAL
29,FAM/SOCHX
30,GENHX
31,FAM/SOCHX
32,FAM/SOCHX
33,PLAN
34,FAM/SOCHX
35,PASTMEDICALHX
36,ASSESSMENT
37,GENHX
38,FAM/SOCHX
39,GENHX
40,FAM/SOCHX
41,CC
42,PLAN
43,GENHX
44,CC
45,FAM/SOCHX
46,FAM/SOCHX
47,MEDICATIONS
48,ROS
49,ROS
50,PLAN
51,FAM/SOCHX
52,FAM/SOCHX
53,GENHX
54,FAM/SOCHX
55,GENHX
56,FAM/SOCHX
57,MEDICATIONS
58,FAM/SOCHX
59,GENHX
60,PASTSURGICAL
61,FAM/SOCHX
62,GENHX
63,ROS
64,PASTSURGICAL
65,GENHX
66,FAM/SOCHX
67,PASTSURGICAL
68,PASTSURGICAL
69,ROS
70,ALLERGY
71,CC
72,PASTMEDICALHX
73,FAM/SOCHX
74,GYNHX
75,CC
76,FAM/SOCHX
77,FAM/SOCHX
78,FAM/SOCHX
79,MEDICATIONS
80,PASTSURGICAL
81,GENHX
82,ROS
83,GENHX
84,CC
85,FAM/SOCHX
86,ROS
87,CC
88,ALLERGY
89,GENHX
90,FAM/SOCHX
91,EXAM
92,PASTMEDICALHX
93,MEDICATIONS
94,PASTMEDICALHX
95,DISPOSITION
96,ROS
97,ASSESSMENT
98,IMMUNIZATIONS
99,ASSESSMENT
